,CIK,Name of fund,Quater of report,Signing date,Name of Issuer,Ticker of Issuer,CUSIP,Value (x$1000),Shares,Shares type,Investment Discretion,Voting Sole,Shared,None
89,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SILICON MOTION TECHNOLOGY CO,SIMO,82706C908,342,4200,SH,SOLE,4200,0,0
90,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SKECHERS U S A INC,No Symbol Found,830566105,281,25218,SH,SOLE,25218,0,0
91,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SM ENERGY CO,SM,78454L100,1028,71602,SH,SOLE,71602,0,0
92,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SPDR SER TR,XBI,78464A375,2789,8190,SH,SOLE,8190,0,0
93,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,STERLING CONSTR INC,No Symbol Found,859241101,280,55448,SH,SOLE,55448,0,0
94,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SUMMIT HOTEL PPTYS INC,No Symbol Found,866082100,1486,19824,SH,SOLE,19824,0,0
95,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SUMMIT MATLS INC,No Symbol Found,86614U100,197,37610,SH,SOLE,37610,0,0
96,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SYNEOS HEALTH INC,SYNH,87166B102,1168,49848,SH,SOLE,49848,0,0
97,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,TANDEM DIABETES CARE INC,TNDM,875372203,4035,10372,SH,SOLE,10372,0,0
98,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,THIRD COAST BANCSHARES INC,TCBX,88422P109,1206,52214,SH,SOLE,52214,0,0
99,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,TILLYS INC,TLYS,886885102,1206,217167,SH,SOLE,217167,0,0
100,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,TREMOR INTL LTD,TTTPF,89484T104,2033,214909,SH,SOLE,214909,0,0
101,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,TYME TECHNOLOGIES INC,TYME,90238J103,3269,159379,SH,SOLE,159379,0,0
102,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,UNIVERSAL DISPLAY CORP,OLED,91347P105,56,7904,SH,SOLE,7904,0,0
103,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,VANGUARD INTL EQUITY INDEX F,VWO.MX,922042775,1320,15591,SH,SOLE,15591,0,0
104,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,VERITEX HLDGS INC,47Y.F,923451108,897,89801,SH,SOLE,89801,0,0
105,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,WHOLE EARTH BRANDS INC,FREE,96684W100,3428,176179,SH,SOLE,176179,0,0
106,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,WINTRUST FINL CORP,No Symbol Found,97650W108,1261,3665,SH,SOLE,3665,0,0
107,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ZIONS BANCORPORATION N A,No Symbol Found,989701107,341,4831,SH,SOLE,4831,0,0
